"name";"intcode";"barcode";"price";"dept";"tag";"unit"
"219";"Клавиатура Genius ""KB-110"", 104кн., черный (PS/2)";"290";"Россия";"0"
"221";"Термочеки 58*40";"60";"Россия";"0"
"222";"Коммутатор Acorp ""HU8DP"" 8 портов 100Мбит/сек.";"509,95";"Россия";"0"
"224";"Бумага AROdfgdfg";"";"Россия";"0"
"226";"Кабель питания EURO (1.5м)";"39,95";"Россия";"0"
"227";"Корпус Miditower Classix ""Element"" ATX 2.03, черно-серебр. (350Вт, ATX12V V1.3)";"1110";"Россия";"0"
"231";"Струйный принтер HP ""Deskjet D2663"" A4, 4800x1200dpi (USB2.0)";"1239,95";"Россия";"0"
"234";"Диск DVD-R 4.7ГБ 1х-16x Sony";"15,5";"Россия";"0"
"235";"Диск VS CD-R Bulk";"20";"Россия";"0"
"237";"Диск DVD-R 700MБ 52x LG 80min+ slim";"22.5";"Россия";"0"
"238";"Диск mini DVD-R 1.4ГБ 4x SmartTrack";"20";"Россия";"0"
"239";"Кабель USB 2.0 соединительный USB A->miniB (1.0м)";"29,95";"Россия";"0"
"240";"Кабель USB 2.0 соединительный IEEE 1394 A->miniB (1.0м)";"44.95";"Россия";"0"
"241";"Кабель DVI-D Dual Link Gembird ""CC-DVI2-10M"" 3m";"239.95";"Россия";"0"
"242";"Кабель VGA (PRO) 15x15 сигнальный (1.8м)";"96";"Россия";"0"
"243";"Коврик Nova ""Miсro Point"" (круглый)";"130";"Россия";"0"
"244";"Коврик матерчатый Buro ""BU-Cloth""";"14,95";"Россия";"0"
"247";"Клавиатура Genius ""KB-06X2"", 107кн., бел. (PS/2)";"199.95";"Россия";"0"
"250";"Клавиатура A4Tech KLS-30, 104кн., белый (PS2)";"264.95";"Россия";"0"
"251";"Манипулятор ""мышь"" Genius ""Mini Traveler"" оптич., 2кн.+скр., металлик (USB)";"299,95";"Россия";"0"
"252";"Манипулятор ""мышь"" A4Tech ""G7 Gaming Class G7-540-4"" оптич., беспров., 4кн.+скр., розово-черный (USB";"469,95";"Россия";"0"
"253";"Манипулятор ""мышь"" Genius TRAVELER 600 LASER беспр.USB";"714,95";"Россия";"0"
"255";"Картридж HP C9351AE (черный) для PSC1410/DJ3920/DJ3940 21";"560";"Россия";"0"
"257";"Привод DVD±RW 24x8x16xDVD/48x32x48xCD Sony Optiarc ""AD-5260S"", черный (SATA)	";"740";"Россия";"0"
"258";"БП Power 450W codegen ";"1100";"Россия";"0"
"260";"Витая пара 5cat.(1m)";"10";"Россия";"0"
"263";"Фильтр электропитания на 6 розеток BURO (5.0м) EURO";"189.95";"Россия";"0"
"264";"Чистящее средство - для ПК Defender ""CLN 30802"" пневматический распылитель (300мл)	";"399.95";"Россия";"0"
"265";"Чистящее средство - спрей Buro ""BU-Sscreen"" для экранов (250мл)";"74,95";"Россия";"0"
"266";"Устройство чтения карт памяти MMC/SDHC/microSD/M2/MS/xD Microsonic ""45-in-1 CR90"", внешн., 3 доп. по";"254,95";"Россия";"0"
"267";"Разветвитель 4 порта USB2.0 Defender ""Quadro"" 83752, внешн";"239,95";"Россия";"0"
"268";"Кулер для Socket775 GlacialTech ""Igloo 5051Plus""";"290";"Россия";"0"
"269";"Кулер для процессора Socket1156 Intel (медный сердечник)	";"400";"Россия";"0"
"270";"Кулер Ice Hammer IH-4401+ <SocketAM2/LGA775/1366!!!, тепловые трубки, Al-Cu >";"995";"Россия";"0"
"271";"Кулер Ice Hammer IH-4300B <SocketAM2/754/939/940/LGA775, HeatpipeDirect, тепловые трубки >";"765";"Россия";"0"
"272";"Адаптер  DVI-I to VGA";"150";"Россия";"0"
"275";"Кабель IDE 80pin";"35";"Россия";"0"
"276";"Кабель IDE 40pin";"30";"Россия";"0"
"277";"КабельFDD ";"30";"Россия";"0"
"278";"Микрофон Genius ""MIC-01C""";"83";"Россия";"0"
"280";"Разветвитель-подставка д\р(море) USB2.0 hub 4порта";"360";"Россия";"0"
"281";"Модем Dial-Up ZyXEL ""OMNI 56K mini"" ";"1989.95";"Россия";"0"
"282";"Модем DSL ZyXEL ""OMNI P660RT3 EE"" Annex A ADSL2+ (LAN)";"1244.95";"Россия";"0"
"283";"Кассета DVC miniDV";"100";"Россия";"0"
"284";"Устройство чтения карт памяти CF/MD/xD/MMC/SD/microSD/MS ""Card Reader/Writer"", в 3.5"" отсек";"199,95";"Россия";"0"
"285";"Акустическая система стерео Sven ""SPS-230"" 2x2Вт, черный";"290";"Россия";"0"
"286";"Акустическая система стерео Sven ""SPS-610"" 2x10Вт, орех";"1462";"Россия";"0"
"287";"Накопитель USB flash 8ГБ Kingston ""DataTraveler 102"" DT102/8GB, сине-черный (USB2.0)";"549,95";"Россия";"0"
"288";"Модуль памяти Samsung 1GB DDRIII pc10600";"899.95";"Россия";"0"
"290";"Привод DVD±RW 24x8x16xDVD/48x32x48xCD Sony Optiarc ""AD-7260S"", серебр. (SATA)";"749,95";"Россия";"0"
"292";"Клавиатура Genius ""Slim Star 220"", 104+12кн., черно-серебр. (PS/2)";"644,95";"Россия";"0"
"294";"Накопитель USB flash 4ГБ Kingston ""DataTraveler Generation 3"" DTIG3/4GB (USB2.0)";"294,95";"Россия";"0"
"295";"Многофункциональное устройство Canon ""i-SENSYS MF4018"" A4, лазерный, принтер + сканер + копир (USB2.";"9950";"Россия";"0"
"297";"Новогодняя елка светящаяся, с музыкой ORIENT ""С Новым годом!"" (USB)";"250";"Россия";"0"
"299";"Картридж Canon ""CL-511"" (3 цвета) для PIXMA MP240/MP260/MP480 (9мл)";"759.95";"Россия";"0"
"300";"Картридж Canon ""PG-510"" (черный) для PIXMA MP240/260/480 (9мл)";"494.95";"Россия";"0"
"304";"Гарнитура Cosonic ""CD-832MV"" с регулятором громкости";"376";"Россия";"0"
"305";"Принтер Samsung ML-1665 Laser";"3950";"Россия";"0"
"307";"ЖК-монитор 23.0"" Acer ""A231Hbd"" 1920x1080, 5мс, черный (D-Sub, DVI)";"7777.95";"Россия";"0"
"308";"Бумага для фото-печати Lomond 0102084 (10x15см, 230г/кв.м, 100л., матовая)";"80";"Россия";"0"
"310";"Корпус Miditower IN-WIN ""EAR-023T2"", ATX, черный (450Вт)";"2249.95";"Россия";"0"
"311";"Корпус Miditower Codegen ""3335-A2"", ATX, черно-серый (500Вт)";"1489.95";"Россия";"0"
"312";"ЖК-монитор 20.0"" Samsung ""SyncMaster B2030N"" LS20PUYKF 1600x900, 5мс, черный (D-Sub)";"6600";"Россия";"0"
"313";"Чистящее средство чистящий комплект (спрей + микрофибра) Buro ""BU-S/MF"" для экранов и оптики";"300";"Россия";"0"
"314";"Контроллер USB2.0 (3 внешн.+1внутр.) STLab ""U-165"" (PCI)";"250";"Россия";"0"
"315";"Клавиатура Genius ""KB-200"", 107+6кн., черный (PS/2)";"249.95";"Россия";"0"
"316";"Модуль оперативной памяти 2ГБ DDR2 SDRAM Silicon Power SP002GBLRU800S01 (PC6400, 800МГц, CL5)";"1269.95";"Россия";"0"
"317";"Системный блок (IXC32G210N500G31E2 CD 3.04 500GB IH,2GB,CR,GBбNW 512MB)";"14420";"Россия";"0"
"318";"Бумага для фото-печати Lomond 0102022 (A4, 230г/кв.м, 50л., глянц.)";"274,95";"Россия";"0"
"319";"Бумага для фото-печати Lomond 0102033 (A4, 200г/кв.м, 50л., матовая)";"184,95";"Россия";"0"
"320";"Бумага для фото-печати Lomond 0102055 (A4, 160г/кв.м, 50л., глянц.)";"294";"КНР";"null"
"322";"Монитор 21.5 «Acer» V226HQLb 1920х1080, 5 мс,черный (D-Sub)";"7207.91";"КНР";"null"
"323";"Чистящее средство - влажные салфетки Buro ""BU-tft"" для LCD мониторов и экранов PDA (100шт./уп.)";"75";"Россия";"0"
"324";"Акустическая система 2.1 Sven ""SPS-821"" сабвуфер 20Вт, сателлиты 2x10Вт, черный";"1749.95";"Россия";"0"
"325";"Привод DVD±RW 8x8x8xDVD/24x24x24xCD Pioneer ""DVR-XD09T"", внешний, черный (USB2.0)	";"1974,95";"Россия";"0"
"326";"Мобильный персональный компьютер Acer ""Aspire 5336-T352G25Mikk"" LX.R4G08.002 (Celeron DC T3500-2.10Г";"20886.06";"Россия";"0"
"328";"Удлинитель USB 2.0 (тип A) (3.0м)";"60";"Россия";"0"
"329";"Антивирус Dr-Web для Windows 12мес 1ПК(продление)";"654";"Россия";"0"
"330";"Бумага для фото-печати Lomond 0102088 (10x15см, 180г/кв.м, 50л., матовая)";"44,95";"Россия";"0"
"331";"Картридж HP ""121"" CC643HE (трехцветный) для DJ D2563/F4283";"670";"Россия";"0"
"332";"Накопитель USB flash 8ГБ Silicon Power ""LuxMini 720"" SP008GBUF2720V1G, золотой (USB2.0)";"520";"Россия";"0"
"333";"Модуль оперативной памяти 2ГБ DDR3 SDRAM Silicon Power ""SP002GBLTU133S02"" (PC10600, 1333МГц, CL9)";"1174.95";"Россия";"0"
"335";"Интернет-камера A4Tech ""PK-30MJ"" (USB2.0) с микрофоном";"484,95";"Россия";"0"
"336";"Интернет-камера A4Tech ""PKS-635K"" (USB2.0) с микрофоном";"419,95";"Россия";"0"
"337";"Корпус Miditower IN-WIN ""IW-S606"", ATX, черно-серебр. (450Вт)	";"2859.95";"Россия";"0"
"338";"Кулер Ice Hammer IH-4200B <SocketAM2/LGA775/1366/1156, HeatpipeDirect, тепловые трубки >";"564.95";"Россия";"0"
"339";"Материнская плата SocketAM3 GIGABYTE ""GA-MA770T-UD3"" (AMD 770, 4xDDR3, U133, SATA II-RAID, PCI-E, SB";"2999.95";"Россия";"0"
"340";"Видеокарта PCI-E 1024МБ HIS ""HD 5770 H577FK1GD"" (Radeon HD 5770, DDR5, 2xDVI, HDMI, DP)";"5259.95";"Россия";"0"
"341";"Картридж Epson ""T09214A10"" (черный) для Stylus C91/CX4300";"454,95";"Россия";"0"
"342";"Кулер для процессора Socket775 GlacialTech ""Igloo 5051 PWM (E) PP""";"254,95";"Россия";"0"
"343";"Дискета Verbatim";"31";"Россия";"0"
"344";"Накопитель USB flash 4ГБ Transcend ""JetFlash 300"" TS4GJF300 (USB2.0)";"289,95";"Россия";"0"
"345";"Мобильный персональный компьютер Lenovo ""G550"" 59047126 (Pentium DC T4200-2.00ГГц, 2048МБ, 250ГБ, DV";"17910";"Россия";"0"
"346";"Процессор Intel ""Celeron Dual-Core E3400"" (2.60ГГц, 1024КБ, 800МГц, EM64T) Socket775";"1719,95";"Россия";"0"
"347";"Материнская плата SocketAM2+ GIGABYTE ""GA-MA770-US3"" rev.2.0 (AMD 770, 4xDDR2, U133, SATA II-RAID, P";"2609,95";"Россия";"0"
"348";"Процессор AMD ""Athlon II X2 240"" (2.80ГГц, 2x1024КБ, HT2000МГц) SocketAM3";"1534";"Россия";"0"
"350";"Жесткий диск 250ГБ WD "" 7200.8 3500418AS"" 7200об./мин., 8МБ (SATA II)";"1432.15";"Россия";"0"
"351";"Жесткий диск 500ГБ Samsung ""SpinPoint F3 HD502HJ"" 7200об./мин., 16МБ (SATA II)";"1579.95";"Россия";"0"
"352";"Вентилятор GlacialTech ""SilentBlade II GT12025-HDLA1"" d120мм, на шарикоподшипнике (питание от мат.п";"204.95";"Россия";"0"
"353";"Вентилятор TITAN ""TFD-5020M12C"" d50мм, на шарикоподшипнике (питание от мат.платы)";"99.95";"Россия";"0"
"354";"Вентилятор TITAN ""TFD-6025M12C"" d60мм, на шарикоподшипнике (питание от мат.платы)";"124.95";"Россия";"0"
