"name";"intcode";"barcode";"price";"dept";"tag";"unit"
"Коммутатор Acorp ""HU8DP"" 8 портов 100Мбит/сек.";"222";"0000000000000";"509,95";"2";"1";"шт."
"Бумага AROdfgdfg";"224";"0000000000000";"";"2";"1";"шт."
"Кабель питания EURO (1.5м)";"226";"0000000000000";"39,95";"2";"1";"шт."
"Корпус Miditower Classix ""Element"" ATX 2.03, черно-серебр. (350Вт, ATX12V V1.3)";"227";"0000000000000";"1110";"2";"1";"шт."
"Струйный принтер HP ""Deskjet D2663"" A4, 4800x1200dpi (USB2.0)";"231";"0000000000000";"1239,95";"2";"1";"шт."
"Диск DVD-R 4.7ГБ 1х-16x Sony";"234";"0000000000000";"15,5";"2";"1";"шт."
"Диск VS CD-R Bulk";"235";"0000000000000";"20";"2";"1";"шт"
"Диск DVD-R 700MБ 52x LG 80min+ slim";"237";"0000000000000";"22.5";"2";"1";"шт."
"Диск mini DVD-R 1.4ГБ 4x SmartTrack";"238";"0000000000000";"20";"2";"1";"шт."
"Кабель USB 2.0 соединительный USB A->miniB (1.0м)";"239";"0000000000000";"29,95";"2";"1";"шт."
"Кабель USB 2.0 соединительный IEEE 1394 A->miniB (1.0м)";"240";"0000000000000";"44.95";"2";"1";"шт."
"Кабель DVI-D Dual Link Gembird ""CC-DVI2-10M"" 3m";"241";"0000000000000";"239.95";"2";"1";"шт."
"Кабель VGA (PRO) 15x15 сигнальный (1.8м)";"242";"0000000000000";"96";"2";"1";"шт."
"Коврик Nova ""Miсro Point"" (круглый)";"243";"0000000000000";"130";"2";"1";"шт."
"Коврик матерчатый Buro ""BU-Cloth""";"244";"0000000000000";"14,95";"2";"1";"шт."
"Клавиатура Genius ""KB-06X2"", 107кн., бел. (PS/2)";"247";"0000000000000";"199.95";"2";"1";"шт."
"Клавиатура A4Tech KLS-30, 104кн., белый (PS2)";"250";"0000000000000";"264.95";"2";"1";"шт."
"Манипулятор ""мышь"" Genius ""Mini Traveler"" оптич., 2кн.+скр., металлик (USB)";"251";"0000000000000";"299,95";"2";"1";"шт."
"Манипулятор ""мышь"" A4Tech ""G7 Gaming Class G7-540-4"" оптич., беспров., 4кн.+скр., розово-черный (USB";"252";"0000000000000";"469,95";"2";"1";"шт."
"Манипулятор ""мышь"" Genius TRAVELER 600 LASER беспр.USB";"253";"0000000000000";"714,95";"2";"1";"шт."
"Картридж HP C9351AE (черный) для PSC1410/DJ3920/DJ3940 21";"255";"0000000000000";"560";"2";"1";"шт."
"Привод DVD±RW 24x8x16xDVD/48x32x48xCD Sony Optiarc ""AD-5260S"", черный (SATA)	";"257";"0000000000000";"740";"2";"1";"шт."
"БП Power 450W codegen ";"258";"0000000000000";"1100";"2";"1";"шт."
"Витая пара 5cat.(1m)";"260";"0000000000000";"10";"2";"1";"шт."
"Фильтр электропитания на 6 розеток BURO (5.0м) EURO";"263";"0000000000000";"189.95";"2";"1";"шт."
"Чистящее средство - для ПК Defender ""CLN 30802"" пневматический распылитель (300мл)	";"264";"0000000000000";"399.95";"2";"1";"шт."
"Чистящее средство - спрей Buro ""BU-Sscreen"" для экранов (250мл)";"265";"0000000000000";"74,95";"2";"1";"шт."
"Устройство чтения карт памяти MMC/SDHC/microSD/M2/MS/xD Microsonic ""45-in-1 CR90"", внешн., 3 доп. по";"266";"0000000000000";"254,95";"2";"1";"шт."
"Разветвитель 4 порта USB2.0 Defender ""Quadro"" 83752, внешн";"267";"0000000000000";"239,95";"2";"1";"шт."
"Кулер для Socket775 GlacialTech ""Igloo 5051Plus""";"268";"0000000000000";"290";"2";"1";"шт."
"Кулер для процессора Socket1156 Intel (медный сердечник)	";"269";"0000000000000";"400";"2";"1";"шт."
"Кулер Ice Hammer IH-4401+ <SocketAM2/LGA775/1366!!!, тепловые трубки, Al-Cu >";"270";"0000000000000";"995";"2";"1";"шт."
"Кулер Ice Hammer IH-4300B <SocketAM2/754/939/940/LGA775, HeatpipeDirect, тепловые трубки >";"271";"0000000000000";"765";"2";"1";"шт."
"Адаптер  DVI-I to VGA";"272";"0000000000000";"150";"2";"1";"шт."
"Кабель IDE 80pin";"275";"0000000000000";"35";"2";"1";"шт."
"Кабель IDE 40pin";"276";"0000000000000";"30";"2";"1";"шт."
"КабельFDD ";"277";"0000000000000";"30";"2";"1";"шт."
"Микрофон Genius ""MIC-01C""";"278";"0000000000000";"83";"2";"1";"шт."
"Разветвитель-подставка д\р(море) USB2.0 hub 4порта";"280";"0000000000000";"360";"2";"1";"шт."
"Модем Dial-Up ZyXEL ""OMNI 56K mini"" ";"281";"0000000000000";"1989.95";"2";"1";"шт."
"Модем DSL ZyXEL ""OMNI P660RT3 EE"" Annex A ADSL2+ (LAN)";"282";"0000000000000";"1244.95";"2";"1";"шт."
"Кассета DVC miniDV";"283";"0000000000000";"100";"2";"1";"шт."
"Устройство чтения карт памяти CF/MD/xD/MMC/SD/microSD/MS ""Card Reader/Writer"", в 3.5"" отсек";"284";"0000000000000";"199,95";"2";"1";"шт."
"Акустическая система стерео Sven ""SPS-230"" 2x2Вт, черный";"285";"0000000000000";"290";"2";"1";"шт."
"Акустическая система стерео Sven ""SPS-610"" 2x10Вт, орех";"286";"0000000000000";"1462";"2";"1";"шт."
"Накопитель USB flash 8ГБ Kingston ""DataTraveler 102"" DT102/8GB, сине-черный (USB2.0)";"287";"0000000000000";"549,95";"2";"1";"шт."
"Модуль памяти Samsung 1GB DDRIII pc10600";"288";"0000000000000";"899.95";"2";"1";"шт."
"Привод DVD±RW 24x8x16xDVD/48x32x48xCD Sony Optiarc ""AD-7260S"", серебр. (SATA)";"290";"0000000000000";"749,95";"2";"1";"шт."
"Клавиатура Genius ""Slim Star 220"", 104+12кн., черно-серебр. (PS/2)";"292";"0000000000000";"644,95";"2";"1";"шт."
"Накопитель USB flash 4ГБ Kingston ""DataTraveler Generation 3"" DTIG3/4GB (USB2.0)";"294";"0000000000000";"294,95";"2";"1";"шт."
"Многофункциональное устройство Canon ""i-SENSYS MF4018"" A4, лазерный, принтер + сканер + копир (USB2.";"295";"0000000000000";"9950";"2";"1";"шт."
"Новогодняя елка светящаяся, с музыкой ORIENT ""С Новым годом!"" (USB)";"297";"0000000000000";"250";"2";"1";"шт."
"Картридж Canon ""CL-511"" (3 цвета) для PIXMA MP240/MP260/MP480 (9мл)";"299";"0000000000000";"759.95";"2";"1";"шт."
"Картридж Canon ""PG-510"" (черный) для PIXMA MP240/260/480 (9мл)";"300";"0000000000000";"494.95";"2";"1";"шт."
"Гарнитура Cosonic ""CD-832MV"" с регулятором громкости";"304";"0000000000000";"376";"2";"1";"шт."
"Принтер Samsung ML-1665 Laser";"305";"0000000000000";"3950";"2";"1";"шт."
"ЖК-монитор 23.0"" Acer ""A231Hbd"" 1920x1080, 5мс, черный (D-Sub, DVI)";"307";"0000000000000";"7777.95";"2";"1";"шт."
"Бумага для фото-печати Lomond 0102084 (10x15см, 230г/кв.м, 100л., матовая)";"308";"0000000000000";"80";"2";"1";"шт."
"Корпус Miditower IN-WIN ""EAR-023T2"", ATX, черный (450Вт)";"310";"0000000000000";"2249.95";"2";"1";"шт."
"Корпус Miditower Codegen ""3335-A2"", ATX, черно-серый (500Вт)";"311";"0000000000000";"1489.95";"2";"1";"шт."
"ЖК-монитор 20.0"" Samsung ""SyncMaster B2030N"" LS20PUYKF 1600x900, 5мс, черный (D-Sub)";"312";"0000000000000";"6600";"2";"1";"шт."
"Чистящее средство чистящий комплект (спрей + микрофибра) Buro ""BU-S/MF"" для экранов и оптики";"313";"0000000000000";"300";"2";"1";"шт."
"Контроллер USB2.0 (3 внешн.+1внутр.) STLab ""U-165"" (PCI)";"314";"0000000000000";"250";"2";"1";"шт."
"Клавиатура Genius ""KB-200"", 107+6кн., черный (PS/2)";"315";"0000000000000";"249.95";"2";"1";"шт."
